judul,vektor
"evaluasi sistem informasi manajemen puskesmas (simpus) pada puskesmas ajung menggunakan cobit 4.1
domain po8, ds4 dan ds5
","[-0.2946, -0.1266, 0.1137, -0.3952, -0.4301, 0.2777, -0.3894, 0.4609, 0.122, 0.0643, -0.1464, 0.32, 0.1035, 0.2934, -0.2391, 0.4832, -0.387, 0.2107, 0.3167, -0.3573, 0.3761, -0.2392, -0.5463, 0.6222, 0.0927, -0.0453, 0.4884, 0.4088, 0.0672, -0.0073, -0.1571, 0.0229, 0.3188, -0.1201, 0.1185, 0.0558, -0.2282, -0.3662, -0.5012, 0.1372, 0.2398, 0.0032, 0.3717, 0.1153, 0.2038, -0.386, -0.2718, 0.0121, -0.0228, 0.5005]"
implementasi metode modified k-nearest neighbor (mknn) untuk klasifikasi penerima dana bantuancovid-19,"[-0.2948, -0.1278, 0.1116, -0.4008, -0.4366, 0.2765, -0.3951, 0.4601, 0.1251, 0.0672, -0.1471, 0.3186, 0.1103, 0.3016, -0.2414, 0.4887, -0.3906, 0.2106, 0.3211, -0.3631, 0.3794, -0.2407, -0.5506, 0.6305, 0.0899, -0.0492, 0.4951, 0.4108, 0.0643, -0.0109, -0.1567, 0.0296, 0.3184, -0.1187, 0.1184, 0.0619, -0.2291, -0.3653, -0.5034, 0.1373, 0.2415, -0.0007, 0.3743, 0.1162, 0.2075, -0.3924, -0.2767, 0.0053, -0.0241, 0.5068]"
implementasi algoritma fuzzy c-means untuk pengelompokan tingkat  kesejahteraan di provinsi jawa timur,"[-0.293, -0.1233, 0.1187, -0.3985, -0.448, 0.2729, -0.3904, 0.4619, 0.1205, 0.0629, -0.1461, 0.3091, 0.1065, 0.3002, -0.2415, 0.4909, -0.3968, 0.2097, 0.327, -0.3681, 0.3812, -0.2361, -0.5546, 0.6371, 0.0903, -0.0458, 0.49, 0.4155, 0.0675, -0.0123, -0.1587, 0.025, 0.3216, -0.1157, 0.128, 0.0555, -0.2268, -0.3717, -0.5039, 0.1366, 0.2373, -0.0104, 0.3736, 0.1166, 0.2086, -0.3916, -0.2726, 0.0065, -0.021, 0.5011]"
"sentiment analysis tweet terhadap kebijakan kurikulum merdeka belajar pada media sosial twitter
menggunakan algoritma multivariate bernoulli","[-0.2885, -0.1273, 0.1103, -0.3916, -0.4254, 0.2709, -0.3833, 0.45, 0.1208, 0.0639, -0.1422, 0.3128, 0.1077, 0.2949, -0.2362, 0.476, -0.3812, 0.2045, 0.3134, -0.3528, 0.3692, -0.2363, -0.5365, 0.6152, 0.0869, -0.047, 0.4842, 0.4028, 0.0628, -0.0096, -0.1529, 0.0278, 0.3133, -0.1178, 0.1144, 0.0573, -0.2229, -0.3585, -0.4897, 0.1344, 0.2378, 0.0017, 0.3681, 0.1132, 0.2044, -0.3825, -0.2686, 0.0072, -0.0251, 0.4928]"
penerapan analytic hierarchy process (ahp) pada sistem pendukung keputusan penerima bantuan pangan non tunai (bpnt),"[-0.2941, -0.1271, 0.1142, -0.3988, -0.4353, 0.2799, -0.3917, 0.4608, 0.1229, 0.0633, -0.1449, 0.3164, 0.1083, 0.2969, -0.2381, 0.4859, -0.3887, 0.2084, 0.3216, -0.3578, 0.3783, -0.2393, -0.5478, 0.6255, 0.091, -0.049, 0.4902, 0.4096, 0.0637, -0.0087, -0.1591, 0.024, 0.3169, -0.1197, 0.1218, 0.058, -0.2271, -0.3664, -0.5, 0.137, 0.2412, -0.0053, 0.3741, 0.1137, 0.206, -0.3887, -0.271, 0.0078, -0.0212, 0.5027]"
optimasi metode multinomial naïve bayes dengan menggunakan metode levenshtein distance pada ulasan aplikasi kai access,"[-0.2847, -0.1314, 0.1082, -0.3941, -0.4256, 0.2678, -0.3831, 0.4459, 0.123, 0.0657, -0.1429, 0.3158, 0.1124, 0.2985, -0.2421, 0.48, -0.3811, 0.2065, 0.3138, -0.3579, 0.3693, -0.2395, -0.5387, 0.6187, 0.0823, -0.047, 0.4908, 0.405, 0.0639, -0.0118, -0.1507, 0.0347, 0.3176, -0.1211, 0.1096, 0.0583, -0.2253, -0.3591, -0.4908, 0.1342, 0.2407, 0.0084, 0.3724, 0.1151, 0.2051, -0.3838, -0.2733, 0.007, -0.0311, 0.4937]"
penerapan algoritma id3 dalam metode forward chaining  untuk mendiagnosa penyakit bawang merah,"[-0.3065, -0.1306, 0.1148, -0.4099, -0.4468, 0.2883, -0.405, 0.4706, 0.1278, 0.0681, -0.1491, 0.3249, 0.111, 0.3053, -0.2454, 0.4998, -0.401, 0.2133, 0.3274, -0.3661, 0.3878, -0.2475, -0.5613, 0.6436, 0.0946, -0.0521, 0.5045, 0.4201, 0.0645, -0.0088, -0.1612, 0.0253, 0.3262, -0.1234, 0.1245, 0.064, -0.2336, -0.3745, -0.5156, 0.1404, 0.2468, -0.0022, 0.3835, 0.1182, 0.2156, -0.4003, -0.2787, 0.0059, -0.0244, 0.5198]"
analisis user experience pada website buildwith angga menggunakan metode cognitive walkthrough,"[-0.2892, -0.1265, 0.1109, -0.3925, -0.4281, 0.2736, -0.3847, 0.4517, 0.1208, 0.0636, -0.1442, 0.3132, 0.1066, 0.2946, -0.2369, 0.4774, -0.3836, 0.2056, 0.3157, -0.3539, 0.3712, -0.2367, -0.5407, 0.6157, 0.0877, -0.0488, 0.4851, 0.4047, 0.0614, -0.0092, -0.1552, 0.0261, 0.3135, -0.1179, 0.1168, 0.0569, -0.2236, -0.3606, -0.4928, 0.1338, 0.2359, 0.0008, 0.3652, 0.1147, 0.2039, -0.3832, -0.2696, 0.0068, -0.0256, 0.494]"
rancang bangun sistem informasi pengiriman barang  study kasus pada pt. sharp electornics indonesia bagian logistik,"[-0.2954, -0.1248, 0.114, -0.3969, -0.4336, 0.2765, -0.3878, 0.4582, 0.1195, 0.0617, -0.1453, 0.3124, 0.1068, 0.2954, -0.2362, 0.4825, -0.3899, 0.2069, 0.3188, -0.3552, 0.374, -0.2369, -0.5442, 0.6234, 0.0898, -0.0494, 0.4853, 0.4081, 0.0661, -0.0075, -0.1582, 0.0218, 0.3143, -0.119, 0.12, 0.0596, -0.2252, -0.3629, -0.4978, 0.1355, 0.2398, -0.0058, 0.3682, 0.1122, 0.2055, -0.3859, -0.2693, 0.0084, -0.0199, 0.4976]"
"implementasi k-nearest neighbor untuk prediksi  keterlambatan pembayaran sumbangan pembinaan 
pendidikan sekolah (studi kasus smk nahdlatuth thalabah)","[-0.2914, -0.128, 0.1109, -0.3967, -0.4318, 0.2734, -0.3882, 0.4542, 0.125, 0.0649, -0.1455, 0.3188, 0.1095, 0.2982, -0.2383, 0.4838, -0.3845, 0.2075, 0.3155, -0.3559, 0.3742, -0.2385, -0.5424, 0.6206, 0.0873, -0.0493, 0.4901, 0.4079, 0.0657, -0.0093, -0.153, 0.0293, 0.3143, -0.1167, 0.114, 0.0589, -0.2258, -0.3573, -0.4949, 0.1349, 0.2405, 0.002, 0.3731, 0.1133, 0.2059, -0.3881, -0.2716, 0.0092, -0.0244, 0.4982]"
"pengembangan aplikasi manajemen tugas berbasis  learning model system (lms) moodle terhadap hasil belahar 
di smp negeri 1 ajung kabupaten jember","[-0.2893, -0.125, 0.1115, -0.3916, -0.4254, 0.2754, -0.3844, 0.4523, 0.1209, 0.0622, -0.1421, 0.3115, 0.1051, 0.2935, -0.2346, 0.4761, -0.3811, 0.2041, 0.3148, -0.3499, 0.3703, -0.2349, -0.537, 0.6131, 0.0896, -0.0488, 0.4812, 0.4032, 0.0627, -0.0084, -0.1553, 0.0237, 0.312, -0.119, 0.1154, 0.0568, -0.223, -0.3584, -0.4906, 0.1331, 0.2377, -0.0026, 0.3658, 0.1111, 0.203, -0.3811, -0.2662, 0.0088, -0.0226, 0.4923]"
klasifikasi gaya belajar menggunakan algoritma c5.0,"[-0.2906, -0.1285, 0.1105, -0.3971, -0.4309, 0.2762, -0.3905, 0.4591, 0.1215, 0.0631, -0.1428, 0.3167, 0.1096, 0.2983, -0.2369, 0.4813, -0.3858, 0.2053, 0.3168, -0.3543, 0.3774, -0.2409, -0.5428, 0.6227, 0.0893, -0.0482, 0.491, 0.4061, 0.0617, -0.0102, -0.1576, 0.0268, 0.3175, -0.1171, 0.1133, 0.0587, -0.2268, -0.3625, -0.4958, 0.1334, 0.2394, -0.0007, 0.3729, 0.1134, 0.2053, -0.3873, -0.2733, 0.0077, -0.0234, 0.499]"
menilai tingkat kesiapan penerapan smart and collaborative office (sco) dengan pendekatan technology acceptance model (tam),"[-0.2895, -0.1264, 0.1143, -0.3935, -0.4291, 0.2744, -0.3854, 0.4539, 0.121, 0.0611, -0.1431, 0.3128, 0.1063, 0.2943, -0.2354, 0.4788, -0.3831, 0.2055, 0.3133, -0.3511, 0.3702, -0.234, -0.5393, 0.6162, 0.0886, -0.0482, 0.4832, 0.4058, 0.0637, -0.0077, -0.1565, 0.0238, 0.3134, -0.116, 0.1183, 0.0559, -0.2263, -0.3593, -0.4925, 0.1358, 0.2392, -0.0021, 0.3679, 0.1121, 0.2055, -0.3819, -0.2706, 0.01, -0.0234, 0.4918]"
"analisis dan perancangan ulang ui dan ux pada aplikasi absensi sikeren dinas komunikasi dan informatika jember
menggunakan metode ucd (user centered design)","[-0.2884, -0.1257, 0.1121, -0.388, -0.4242, 0.271, -0.3824, 0.4485, 0.1204, 0.0608, -0.1436, 0.3101, 0.1056, 0.2918, -0.2346, 0.4742, -0.3775, 0.2042, 0.3124, -0.3498, 0.3666, -0.2332, -0.5349, 0.6094, 0.087, -0.0459, 0.4787, 0.4016, 0.0638, -0.0089, -0.1546, 0.0234, 0.3103, -0.1177, 0.1168, 0.0543, -0.2244, -0.359, -0.4861, 0.1346, 0.2364, -0.0013, 0.3647, 0.1117, 0.2028, -0.3792, -0.2684, 0.0099, -0.0236, 0.4885]"
implementasi vgg-16 convolutional neural network pada citra penyakit tanaman kedelai,"[-0.2909, -0.1267, 0.1084, -0.3913, -0.4269, 0.2738, -0.3844, 0.4505, 0.1218, 0.0667, -0.1434, 0.3142, 0.1083, 0.2937, -0.2353, 0.4773, -0.3805, 0.2061, 0.3153, -0.3517, 0.3683, -0.2354, -0.5368, 0.6164, 0.0865, -0.0471, 0.4875, 0.4006, 0.0634, -0.0097, -0.1533, 0.0272, 0.313, -0.1187, 0.1149, 0.0595, -0.2241, -0.3547, -0.4925, 0.1349, 0.2364, 0.0041, 0.3682, 0.1162, 0.2031, -0.3817, -0.2689, 0.0052, -0.027, 0.4951]"
"implementasi algoritma k-means dengan particle swarm optimization untuk pengelompokan tingkat
kesejahteraan provinsi jawa timur","[-0.2859, -0.12, 0.1155, -0.3879, -0.4351, 0.2661, -0.3797, 0.4487, 0.117, 0.0614, -0.1423, 0.3013, 0.1031, 0.2928, -0.2353, 0.4783, -0.3856, 0.2039, 0.3181, -0.3568, 0.3708, -0.2299, -0.5391, 0.6192, 0.0876, -0.0449, 0.4762, 0.4036, 0.0658, -0.0114, -0.1543, 0.0242, 0.3127, -0.1124, 0.1235, 0.0541, -0.2202, -0.3611, -0.4896, 0.1332, 0.2309, -0.0099, 0.3634, 0.1132, 0.203, -0.3804, -0.2659, 0.0065, -0.0214, 0.4875]"
penerapan metode single exponential smoothing sebagai pendukung keputusan peramalan penjualan krupuk ,"[-0.2969, -0.1291, 0.1118, -0.3958, -0.429, 0.2771, -0.3846, 0.4525, 0.1243, 0.0694, -0.144, 0.3139, 0.1036, 0.2943, -0.2354, 0.4821, -0.3858, 0.2039, 0.3183, -0.3514, 0.3734, -0.24, -0.5387, 0.6143, 0.091, -0.0494, 0.4864, 0.4068, 0.0599, -0.0079, -0.1555, 0.0199, 0.3163, -0.1218, 0.1197, 0.0551, -0.2226, -0.364, -0.4922, 0.1372, 0.2411, -0.0041, 0.3741, 0.1066, 0.2038, -0.3849, -0.2666, 0.0076, -0.0223, 0.4942]"
peramalan penjualan liquid vape menggunakan metode single exponential smoothing,"[-0.2959, -0.1288, 0.1107, -0.3952, -0.4279, 0.2774, -0.3839, 0.4512, 0.124, 0.0696, -0.1439, 0.3124, 0.1028, 0.2935, -0.2356, 0.4825, -0.3854, 0.2034, 0.3179, -0.3524, 0.3731, -0.2396, -0.5375, 0.6137, 0.0899, -0.0487, 0.4862, 0.4068, 0.0595, -0.0077, -0.1557, 0.019, 0.3168, -0.1208, 0.119, 0.0541, -0.223, -0.3626, -0.493, 0.1365, 0.2408, -0.0033, 0.3734, 0.1066, 0.2021, -0.3839, -0.2649, 0.0073, -0.0229, 0.4929]"
sistem pendukung keputusan siswa berprestasi menggunakan metode weighted product (wp) (studi kasus smk al-qodiri jember),"[-0.2883, -0.1246, 0.111, -0.3913, -0.4243, 0.2725, -0.382, 0.4484, 0.1195, 0.0651, -0.1413, 0.3102, 0.1054, 0.2922, -0.2323, 0.4746, -0.3793, 0.204, 0.3136, -0.348, 0.3687, -0.2351, -0.5351, 0.6098, 0.088, -0.0484, 0.4803, 0.4003, 0.0615, -0.0077, -0.1532, 0.0234, 0.3119, -0.1167, 0.116, 0.0548, -0.2218, -0.3562, -0.4868, 0.1322, 0.2379, -0.0039, 0.3667, 0.1098, 0.2015, -0.3789, -0.2666, 0.0081, -0.0225, 0.49]"
"analisis sentimen presepsi masyarakat dalam menghadapi resesi 2023 pada twitter dengan
metode bidirectional encoder representations from transformers (bert)","[-0.2842, -0.1242, 0.109, -0.3835, -0.4167, 0.2655, -0.3737, 0.4409, 0.1181, 0.062, -0.1401, 0.3063, 0.1055, 0.2879, -0.2312, 0.4655, -0.3735, 0.2008, 0.3069, -0.3448, 0.3607, -0.2311, -0.5252, 0.6011, 0.0852, -0.0458, 0.4734, 0.3939, 0.061, -0.0088, -0.1504, 0.0257, 0.3059, -0.1167, 0.113, 0.0557, -0.2187, -0.3512, -0.4798, 0.1314, 0.2333, 0.0016, 0.36, 0.1121, 0.1992, -0.3742, -0.2644, 0.0076, -0.0241, 0.4828]"
penerapan metode finite state machine dan fuzzy logic sebagai kecerdasan buatan pada non playable character (npc),"[-0.2966, -0.1295, 0.1145, -0.4006, -0.436, 0.2826, -0.3952, 0.4646, 0.1246, 0.0631, -0.1465, 0.318, 0.1093, 0.2987, -0.2398, 0.4867, -0.3921, 0.2085, 0.3218, -0.3617, 0.3792, -0.2399, -0.5505, 0.6301, 0.0918, -0.049, 0.4933, 0.4132, 0.0651, -0.0092, -0.1585, 0.0239, 0.3206, -0.122, 0.1193, 0.059, -0.2311, -0.3689, -0.5022, 0.1378, 0.2427, -0.0023, 0.3757, 0.1129, 0.2095, -0.3902, -0.2725, 0.0097, -0.024, 0.505]"
analisis metode weighted product dalam sistem pendukung keputusan program bantuan rumah layak huni,"[-0.2946, -0.1253, 0.1137, -0.3989, -0.4356, 0.2809, -0.3919, 0.4619, 0.123, 0.0642, -0.1444, 0.3155, 0.1079, 0.2975, -0.2374, 0.4851, -0.3896, 0.208, 0.3222, -0.359, 0.3782, -0.2386, -0.5485, 0.6264, 0.0905, -0.0484, 0.4909, 0.4093, 0.0622, -0.0086, -0.1591, 0.0249, 0.3178, -0.12, 0.1212, 0.0592, -0.2278, -0.3647, -0.5012, 0.1368, 0.2406, -0.0059, 0.3718, 0.1139, 0.2075, -0.3893, -0.2708, 0.0075, -0.0209, 0.5038]"
penerapan metode fuzzy time series chen untuk prediksi jumlah wisatawan domestik ke bali,"[-0.3014, -0.1315, 0.1175, -0.4104, -0.4487, 0.2849, -0.4006, 0.4711, 0.1261, 0.066, -0.1499, 0.3227, 0.11, 0.3052, -0.2452, 0.4979, -0.4027, 0.2117, 0.3291, -0.3687, 0.3871, -0.2455, -0.5591, 0.6427, 0.0925, -0.0484, 0.5031, 0.4213, 0.0655, -0.009, -0.1624, 0.0256, 0.3271, -0.1226, 0.1253, 0.0611, -0.2334, -0.376, -0.5154, 0.1387, 0.2483, -0.0047, 0.3833, 0.1173, 0.2139, -0.4008, -0.2788, 0.0069, -0.0219, 0.5164]"
klasifikasi penyakit paru-paru menggunakan metode cnn arsitektur mobilenet versi 3,"[-0.2883, -0.1251, 0.1094, -0.3889, -0.4245, 0.2705, -0.3822, 0.4476, 0.1209, 0.0658, -0.1431, 0.312, 0.1065, 0.2922, -0.2341, 0.4747, -0.379, 0.2044, 0.3109, -0.3497, 0.3662, -0.2357, -0.5343, 0.6121, 0.0854, -0.0473, 0.4827, 0.3981, 0.0632, -0.0099, -0.1514, 0.0283, 0.3107, -0.1172, 0.1138, 0.0593, -0.2226, -0.353, -0.4882, 0.1329, 0.2351, 0.0032, 0.3655, 0.114, 0.2025, -0.38, -0.267, 0.0063, -0.0249, 0.4909]"
