judul,vektor
sistem pakar diagnosa awal penyakit lambung menggunakan metode cosine similarity berbasis web,"[0.6098, -0.1225, -0.0005, 0.0722, -0.0446, -0.3403, 0.787, 0.3382, 0.1527, 0.6088, -0.2034, 0.199, -0.2435, 0.3871, 0.3266, -0.1535, 0.3417, -0.0714, -0.3473, -0.0589, -0.3858, 0.0052, 0.1097, -0.2924, 0.3742, -0.2482, 0.1458, 0.3313, -0.5121, -0.6514, 0.2213, 0.1239, 0.3278, 0.4822, -0.1692, -0.3949, -0.0565, 0.0348, -0.1303, -0.1083, 0.0027, -0.0925, 0.2121, -0.4679, 0.4736, 0.5326, 0.1121, -0.1698, 0.1369, 0.3845]"
"perancangan augmented reality world kids sebagai media pembelajaran bahasa inggris
menggunakan metode marker based tracking","[0.6371, -0.0819, -0.034, 0.0593, 0.0179, -0.3487, 0.7723, 0.271, 0.2045, 0.5269, -0.1708, 0.197, -0.2376, 0.351, 0.3438, -0.0653, 0.3179, -0.1063, -0.2632, -0.0409, -0.2866, 0.0163, 0.0999, -0.2164, 0.3878, -0.3167, 0.1538, 0.2801, -0.5949, -0.5535, 0.1929, 0.1687, 0.3138, 0.4996, -0.1808, -0.353, -0.0838, 0.0969, -0.1968, -0.063, -0.0644, -0.0583, 0.1768, -0.4086, 0.4258, 0.454, 0.0972, -0.233, 0.1507, 0.3162]"
perancangan sistem aplikasi mathematic geometri game menggunakan metode finite state machine ,"[0.6184, -0.0822, -0.032, 0.0573, 0.0166, -0.3361, 0.7194, 0.2586, 0.1768, 0.4957, -0.1567, 0.1909, -0.2337, 0.348, 0.3258, -0.0514, 0.3052, -0.101, -0.2491, -0.0386, -0.2506, 0.028, 0.0993, -0.2075, 0.3749, -0.3175, 0.1577, 0.2719, -0.5786, -0.5115, 0.1922, 0.1621, 0.2887, 0.4802, -0.1783, -0.3205, -0.088, 0.0977, -0.1964, -0.0476, -0.0646, -0.0501, 0.157, -0.3823, 0.4058, 0.4264, 0.0999, -0.2286, 0.1366, 0.2972]"
optimasi klasifikasi gangguan autisme menggunakan boostrap aggregrating pada algoritma c4.5,"[0.7297, -0.1072, -0.0165, 0.0838, 0.1389, -0.339, 0.8418, 0.1833, 0.1487, 0.4562, -0.1326, 0.2573, -0.3425, 0.4901, 0.5291, 0.0073, 0.3583, -0.0704, -0.2583, -0.0652, -0.1349, 0.1109, 0.1427, -0.2899, 0.4136, -0.4452, 0.2599, 0.3744, -0.6954, -0.4711, 0.2657, 0.2262, 0.2407, 0.5664, -0.1948, -0.2414, -0.1135, 0.0806, -0.1873, 0.0082, -0.0217, -0.1672, 0.2213, -0.5371, 0.4946, 0.4374, 0.1475, -0.2371, 0.2005, 0.3929]"
"penerapan levenshtein distance terhadap support vector machine (svm) dalam analisis sentimen teks
studi kasus ulasan aplikasi dana","[0.6865, -0.1149, -0.0097, 0.0933, 0.0937, -0.2838, 0.7998, 0.1884, 0.1496, 0.4302, -0.1393, 0.1933, -0.2937, 0.3971, 0.4816, -0.0423, 0.3215, -0.0822, -0.2409, -0.0677, -0.1431, 0.0521, 0.1327, -0.2772, 0.3565, -0.3832, 0.2319, 0.3422, -0.6197, -0.474, 0.2617, 0.2051, 0.2687, 0.5223, -0.1685, -0.2493, -0.0897, 0.0462, -0.1255, -0.059, -0.0174, -0.16, 0.2048, -0.5, 0.4702, 0.4387, 0.0928, -0.2826, 0.2315, 0.3538]"
implementasimetode multi attribute utility theory (maut) untuk sistem pendukung keputusan pada pembelian motor bekas,"[0.6509, -0.1134, -0.0233, 0.0725, -0.0229, -0.3367, 0.7906, 0.308, 0.1702, 0.5657, -0.1757, 0.1846, -0.2416, 0.3863, 0.3273, -0.08, 0.3288, -0.1085, -0.2566, -0.0471, -0.3031, 0.0261, 0.0992, -0.2301, 0.4012, -0.3151, 0.1553, 0.2997, -0.6096, -0.5808, 0.2192, 0.1742, 0.3285, 0.5072, -0.1701, -0.3601, -0.0588, 0.1117, -0.1864, -0.0735, -0.0678, -0.0373, 0.1723, -0.4114, 0.4276, 0.4621, 0.1116, -0.2305, 0.1487, 0.3148]"
"evaluasi sistem informasi manajemen puskesmas (simpus) pada puskesmas ajung menggunakan cobit 4.1
domain po8, ds4 dan ds5
","[0.6277, -0.0975, -0.0264, 0.0689, 0.0237, -0.3254, 0.75, 0.2545, 0.1705, 0.5002, -0.1445, 0.1923, -0.2469, 0.3803, 0.3491, -0.0494, 0.3176, -0.1085, -0.2336, -0.0509, -0.2521, 0.0318, 0.0892, -0.2123, 0.3846, -0.3338, 0.1582, 0.2797, -0.6042, -0.5178, 0.205, 0.1742, 0.2897, 0.4829, -0.1712, -0.3141, -0.0751, 0.1101, -0.2005, -0.0343, -0.0661, -0.0567, 0.1651, -0.3986, 0.3979, 0.4174, 0.11, -0.2168, 0.145, 0.3102]"
implementasi metode modified k-nearest neighbor (mknn) untuk klasifikasi penerima dana bantuancovid-19,"[0.6918, -0.097, -0.0422, 0.0391, 0.0562, -0.3734, 0.7991, 0.2669, 0.1649, 0.495, -0.1675, 0.2467, -0.2947, 0.4648, 0.4029, 0.0052, 0.3745, -0.1255, -0.2498, -0.047, -0.2222, 0.0775, 0.095, -0.2413, 0.449, -0.418, 0.2121, 0.3093, -0.6739, -0.5296, 0.2092, 0.1894, 0.3284, 0.5413, -0.2251, -0.29, -0.1074, 0.1457, -0.2596, 0.0129, -0.0734, -0.076, 0.1373, -0.4321, 0.4637, 0.4553, 0.1309, -0.2495, 0.1538, 0.3496]"
implementasi algoritma fuzzy c-means untuk pengelompokan tingkat  kesejahteraan di provinsi jawa timur,"[0.8272, -0.0244, -0.1413, -0.0238, 0.0419, -0.5692, 0.7995, 0.3726, 0.2434, 0.5426, -0.1596, 0.2895, -0.2192, 0.4193, 0.2056, 0.0869, 0.4315, -0.2775, -0.2451, -0.0404, -0.3015, 0.0646, 0.0185, -0.0809, 0.56, -0.502, 0.2235, 0.1711, -0.7586, -0.6011, 0.1589, 0.1327, 0.4891, 0.5709, -0.3813, -0.3207, -0.2619, 0.3646, -0.5139, 0.0908, -0.2494, 0.08, 0.0294, -0.2213, 0.4262, 0.5239, 0.0624, -0.3971, 0.0665, 0.3481]"
"sentiment analysis tweet terhadap kebijakan kurikulum merdeka belajar pada media sosial twitter
menggunakan algoritma multivariate bernoulli","[0.7176, -0.0917, -0.0367, 0.0808, 0.1032, -0.3569, 0.8228, 0.2188, 0.1617, 0.4782, -0.1425, 0.2425, -0.3085, 0.4352, 0.4644, -0.0037, 0.3418, -0.1197, -0.2405, -0.062, -0.1888, 0.0822, 0.1181, -0.2406, 0.4093, -0.4198, 0.2247, 0.3323, -0.6906, -0.5089, 0.2488, 0.2163, 0.2825, 0.5549, -0.1893, -0.2697, -0.1151, 0.1189, -0.2223, -0.0311, -0.0743, -0.1235, 0.1829, -0.468, 0.47, 0.4334, 0.1215, -0.276, 0.1916, 0.3517]"
penerapan analytic hierarchy process (ahp) pada sistem pendukung keputusan penerima bantuan pangan non tunai (bpnt),"[0.6336, -0.1207, -0.0217, 0.0573, -0.0565, -0.337, 0.7816, 0.3382, 0.176, 0.5791, -0.194, 0.184, -0.2284, 0.3762, 0.2945, -0.0917, 0.3377, -0.109, -0.2599, -0.0286, -0.34, 0.0138, 0.0939, -0.2421, 0.4079, -0.286, 0.1441, 0.2827, -0.595, -0.6156, 0.183, 0.1565, 0.3665, 0.4904, -0.1784, -0.3904, -0.0519, 0.1077, -0.196, -0.0797, -0.0582, -0.0193, 0.158, -0.3971, 0.433, 0.4736, 0.1082, -0.2319, 0.1261, 0.2966]"
optimasi metode multinomial naïve bayes dengan menggunakan metode levenshtein distance pada ulasan aplikasi kai access,"[0.8431, -0.1038, -0.0158, 0.167, 0.2689, -0.3184, 0.8786, 0.1063, 0.0828, 0.3515, -0.0615, 0.3209, -0.4027, 0.4983, 0.7069, 0.0894, 0.3527, -0.1294, -0.1871, -0.1205, 0.0268, 0.1786, 0.1315, -0.2822, 0.3625, -0.5554, 0.368, 0.4193, -0.7838, -0.416, 0.3862, 0.2839, 0.221, 0.6393, -0.168, -0.0897, -0.1823, 0.1119, -0.1997, -0.0289, -0.0802, -0.2974, 0.2133, -0.5752, 0.5728, 0.3996, 0.0763, -0.3932, 0.3103, 0.4234]"
penerapan algoritma id3 dalam metode forward chaining  untuk mendiagnosa penyakit bawang merah,"[0.6429, -0.1093, -0.0106, 0.0723, -0.0167, -0.3976, 0.828, 0.3291, 0.1903, 0.6287, -0.2003, 0.2146, -0.2612, 0.4146, 0.3378, -0.1225, 0.3529, -0.1027, -0.3411, -0.0617, -0.396, 0.0174, 0.0962, -0.2497, 0.4169, -0.2891, 0.1401, 0.3241, -0.5661, -0.6742, 0.2156, 0.1323, 0.3569, 0.5182, -0.1891, -0.4172, -0.0663, 0.0959, -0.1868, -0.0725, -0.03, -0.0641, 0.1975, -0.4586, 0.4719, 0.5363, 0.1047, -0.1664, 0.1275, 0.3813]"
analisis user experience pada website buildwith angga menggunakan metode cognitive walkthrough,"[0.6714, -0.0929, -0.0382, 0.0769, 0.0668, -0.3441, 0.7571, 0.235, 0.1578, 0.4862, -0.1276, 0.2212, -0.2709, 0.4044, 0.3849, -0.0131, 0.3264, -0.1124, -0.2232, -0.0675, -0.2098, 0.0612, 0.0896, -0.21, 0.3934, -0.381, 0.1992, 0.2901, -0.6433, -0.4849, 0.2282, 0.1929, 0.2684, 0.5093, -0.1851, -0.2724, -0.1052, 0.1399, -0.2303, -0.0064, -0.0895, -0.0803, 0.1597, -0.3991, 0.4092, 0.4013, 0.114, -0.2374, 0.1538, 0.3315]"
rancang bangun sistem informasi pengiriman barang  study kasus pada pt. sharp electornics indonesia bagian logistik,"[0.6308, -0.1053, -0.03, 0.0457, -0.0372, -0.3595, 0.7713, 0.3328, 0.1978, 0.5747, -0.1863, 0.1726, -0.2174, 0.3553, 0.275, -0.0976, 0.322, -0.12, -0.28, -0.0373, -0.3578, -0.0132, 0.0985, -0.2103, 0.4044, -0.2846, 0.1343, 0.2728, -0.5792, -0.5953, 0.1895, 0.1438, 0.358, 0.484, -0.1943, -0.3943, -0.0883, 0.115, -0.2105, -0.0832, -0.0702, -0.0069, 0.1772, -0.3744, 0.3997, 0.4851, 0.1026, -0.2335, 0.1254, 0.3147]"
"implementasi k-nearest neighbor untuk prediksi  keterlambatan pembayaran sumbangan pembinaan 
pendidikan sekolah (studi kasus smk nahdlatuth thalabah)","[0.6593, -0.1075, 0.0096, 0.0532, 0.0884, -0.305, 0.8226, 0.2206, 0.1552, 0.4432, -0.1691, 0.2292, -0.323, 0.4836, 0.4995, -0.0133, 0.3712, -0.0936, -0.2506, -0.0495, -0.1606, 0.0815, 0.1198, -0.3076, 0.4287, -0.4229, 0.2313, 0.3585, -0.6437, -0.5093, 0.2288, 0.2056, 0.3042, 0.5461, -0.1913, -0.2671, -0.0579, 0.0609, -0.1588, -0.0033, -0.0051, -0.1579, 0.1646, -0.5411, 0.5137, 0.4675, 0.1222, -0.2239, 0.2134, 0.3706]"
"pengembangan aplikasi manajemen tugas berbasis  learning model system (lms) moodle terhadap hasil belahar 
di smp negeri 1 ajung kabupaten jember","[0.6156, -0.0971, -0.0171, 0.0587, -0.0241, -0.3281, 0.7634, 0.3046, 0.1919, 0.5487, -0.1868, 0.1846, -0.2339, 0.3563, 0.3239, -0.0899, 0.3211, -0.0958, -0.2651, -0.0265, -0.3146, 0.0028, 0.1048, -0.2373, 0.3893, -0.2892, 0.1314, 0.2903, -0.5771, -0.578, 0.1943, 0.1602, 0.3263, 0.4877, -0.1713, -0.3795, -0.0587, 0.0744, -0.1802, -0.0776, -0.0473, -0.0409, 0.174, -0.4135, 0.4228, 0.463, 0.1068, -0.2157, 0.1452, 0.3075]"
klasifikasi gaya belajar menggunakan algoritma c5.0,"[0.6535, -0.0771, -0.0087, 0.0339, 0.0347, -0.3408, 0.7405, 0.263, 0.1719, 0.4836, -0.1793, 0.2551, -0.2805, 0.399, 0.4014, -0.0118, 0.3328, -0.0667, -0.273, 0.0088, -0.2094, 0.0915, 0.1272, -0.2749, 0.3949, -0.365, 0.1782, 0.3175, -0.6281, -0.5298, 0.1904, 0.1811, 0.3062, 0.5315, -0.1941, -0.3046, -0.086, 0.065, -0.2006, -0.0354, -0.0315, -0.1078, 0.1458, -0.4563, 0.4976, 0.4324, 0.0968, -0.241, 0.151, 0.2954]"
menilai tingkat kesiapan penerapan smart and collaborative office (sco) dengan pendekatan technology acceptance model (tam),"[0.6252, -0.0846, -0.0277, 0.064, 0.0328, -0.3318, 0.745, 0.25, 0.1768, 0.4955, -0.1571, 0.1933, -0.2487, 0.3805, 0.3525, -0.0437, 0.3255, -0.105, -0.2443, -0.0522, -0.2478, 0.0293, 0.0875, -0.2117, 0.3924, -0.3435, 0.1599, 0.2833, -0.5952, -0.5173, 0.2089, 0.1629, 0.2972, 0.4872, -0.1767, -0.3146, -0.0741, 0.1106, -0.1982, -0.0276, -0.0624, -0.062, 0.1604, -0.4074, 0.4131, 0.4311, 0.1012, -0.2137, 0.1473, 0.3138]"
"analisis dan perancangan ulang ui dan ux pada aplikasi absensi sikeren dinas komunikasi dan informatika jember
menggunakan metode ucd (user centered design)","[0.6238, -0.0877, -0.0341, 0.0623, 0.0262, -0.3368, 0.7334, 0.2639, 0.1718, 0.4974, -0.154, 0.1918, -0.2386, 0.3691, 0.3301, -0.0398, 0.3187, -0.1203, -0.23, -0.0482, -0.2529, 0.029, 0.0817, -0.1993, 0.3906, -0.3371, 0.1601, 0.2726, -0.5958, -0.5075, 0.2041, 0.1698, 0.3017, 0.485, -0.1828, -0.3087, -0.0859, 0.1271, -0.219, -0.0264, -0.0798, -0.0436, 0.1525, -0.3802, 0.395, 0.4165, 0.103, -0.2276, 0.1362, 0.3127]"
implementasi vgg-16 convolutional neural network pada citra penyakit tanaman kedelai,"[0.6511, -0.1099, -0.0104, 0.0907, 0.0776, -0.3456, 0.7609, 0.2169, 0.1267, 0.4932, -0.1353, 0.2493, -0.3072, 0.4549, 0.4316, -0.0355, 0.3311, -0.0814, -0.2701, -0.0686, -0.21, 0.0917, 0.1024, -0.2556, 0.3859, -0.3763, 0.2012, 0.3342, -0.6147, -0.5078, 0.2476, 0.1906, 0.2361, 0.5078, -0.1685, -0.2637, -0.0827, 0.0989, -0.1839, -0.0054, -0.0363, -0.1356, 0.1845, -0.4664, 0.4456, 0.4193, 0.138, -0.1752, 0.1504, 0.3575]"
"implementasi algoritma k-means dengan particle swarm optimization untuk pengelompokan tingkat
kesejahteraan provinsi jawa timur","[0.7769, -0.0322, -0.1177, -0.0143, 0.0371, -0.5223, 0.7682, 0.3494, 0.23, 0.528, -0.1557, 0.2697, -0.2199, 0.4047, 0.2192, 0.0666, 0.4076, -0.2421, -0.2412, -0.0403, -0.2861, 0.0623, 0.0277, -0.0993, 0.5256, -0.4672, 0.2103, 0.1843, -0.7165, -0.578, 0.1608, 0.1323, 0.4481, 0.5481, -0.3455, -0.3141, -0.224, 0.3168, -0.4567, 0.0784, -0.2155, 0.0598, 0.044, -0.2442, 0.4184, 0.4991, 0.0671, -0.3527, 0.075, 0.337]"
penerapan metode single exponential smoothing sebagai pendukung keputusan peramalan penjualan krupuk ,"[0.5771, -0.109, 0.0269, 0.186, 0.0611, -0.3689, 0.9304, 0.2344, 0.3143, 0.5959, -0.1809, 0.1238, -0.2112, 0.3609, 0.3905, -0.101, 0.2992, -0.1939, -0.1757, -0.0965, -0.3729, -0.0072, 0.0197, -0.1, 0.3908, -0.2654, 0.0695, 0.2904, -0.5474, -0.651, 0.2192, 0.1832, 0.414, 0.5608, -0.0794, -0.434, 0.0619, 0.2099, -0.1708, -0.053, -0.0936, 0.0106, 0.1646, -0.4491, 0.3935, 0.4147, 0.0014, -0.1205, 0.1919, 0.3124]"
peramalan penjualan liquid vape menggunakan metode single exponential smoothing,"[0.5948, -0.1046, 0.0207, 0.1892, 0.0716, -0.3798, 0.9412, 0.2327, 0.3193, 0.5929, -0.1754, 0.1326, -0.2151, 0.362, 0.3999, -0.0897, 0.3043, -0.2064, -0.1709, -0.1016, -0.369, -0.0047, 0.0138, -0.0905, 0.3952, -0.2802, 0.0761, 0.291, -0.564, -0.6541, 0.2276, 0.1886, 0.4187, 0.5721, -0.0842, -0.4284, 0.05, 0.2219, -0.1864, -0.0458, -0.1061, 0.0101, 0.1631, -0.4464, 0.3968, 0.4185, -0.002, -0.1374, 0.1989, 0.3194]"
sistem pendukung keputusan siswa berprestasi menggunakan metode weighted product (wp) (studi kasus smk al-qodiri jember),"[0.6261, -0.104, -0.0124, 0.0829, -0.0032, -0.3347, 0.7779, 0.2863, 0.1801, 0.5355, -0.1719, 0.2054, -0.2503, 0.3962, 0.3491, -0.0444, 0.339, -0.1162, -0.2177, -0.0372, -0.281, 0.0412, 0.0721, -0.2201, 0.4066, -0.3261, 0.1337, 0.2878, -0.613, -0.5666, 0.1977, 0.1786, 0.3383, 0.5106, -0.1614, -0.3462, -0.0296, 0.1294, -0.2115, -0.0301, -0.0735, -0.0362, 0.1339, -0.4117, 0.4288, 0.4187, 0.1015, -0.2049, 0.1448, 0.2993]"
"analisis sentimen presepsi masyarakat dalam menghadapi resesi 2023 pada twitter dengan
metode bidirectional encoder representations from transformers (bert)","[0.6679, -0.1146, -0.0277, 0.076, 0.0841, -0.2992, 0.8031, 0.2116, 0.1605, 0.446, -0.1505, 0.1806, -0.2681, 0.3727, 0.4273, -0.0542, 0.2943, -0.1021, -0.2441, -0.0523, -0.1932, 0.0316, 0.1509, -0.2593, 0.352, -0.3517, 0.2139, 0.3284, -0.6053, -0.4817, 0.2382, 0.2057, 0.2827, 0.502, -0.1806, -0.2726, -0.1087, 0.0641, -0.1418, -0.0797, -0.0258, -0.1299, 0.2212, -0.4623, 0.4288, 0.4458, 0.117, -0.2818, 0.207, 0.3423]"
penerapan metode finite state machine dan fuzzy logic sebagai kecerdasan buatan pada non playable character (npc),"[0.6583, -0.0845, -0.0286, 0.0627, 0.038, -0.3567, 0.7627, 0.2576, 0.181, 0.512, -0.1594, 0.202, -0.2542, 0.3967, 0.3617, -0.0481, 0.3319, -0.1052, -0.2623, -0.0535, -0.2505, 0.0329, 0.0991, -0.2146, 0.403, -0.3583, 0.1735, 0.2962, -0.6176, -0.5264, 0.2174, 0.1668, 0.2934, 0.5107, -0.1862, -0.3261, -0.0966, 0.1115, -0.2095, -0.0301, -0.061, -0.0548, 0.1764, -0.4145, 0.4238, 0.4523, 0.1102, -0.2295, 0.147, 0.3252]"
analisis metode weighted product dalam sistem pendukung keputusan program bantuan rumah layak huni,"[0.6645, -0.1018, -0.0451, 0.042, -0.0273, -0.3947, 0.7836, 0.3454, 0.1918, 0.5807, -0.1952, 0.2121, -0.2302, 0.3956, 0.2819, -0.0584, 0.3403, -0.1372, -0.2707, -0.0259, -0.345, 0.0223, 0.0918, -0.1988, 0.4279, -0.3186, 0.1418, 0.2803, -0.6199, -0.6097, 0.1937, 0.1517, 0.3791, 0.519, -0.2095, -0.38, -0.1039, 0.1616, -0.2648, -0.0504, -0.091, 0.0078, 0.1473, -0.3597, 0.4185, 0.4775, 0.1137, -0.2449, 0.1106, 0.3103]"
penerapan metode fuzzy time series chen untuk prediksi jumlah wisatawan domestik ke bali,"[0.6898, -0.079, -0.0421, 0.0624, 0.0536, -0.4038, 0.8112, 0.2869, 0.2057, 0.5211, -0.1701, 0.2138, -0.2392, 0.3905, 0.3445, -0.0295, 0.3347, -0.1683, -0.2612, -0.0526, -0.2886, 0.0325, 0.0931, -0.1786, 0.4217, -0.3697, 0.1818, 0.285, -0.6324, -0.5751, 0.212, 0.1636, 0.374, 0.5285, -0.2201, -0.3351, -0.1303, 0.169, -0.2598, -0.0449, -0.0963, -0.0394, 0.1604, -0.3869, 0.4324, 0.4832, 0.0707, -0.2835, 0.1457, 0.3326]"
klasifikasi penyakit paru-paru menggunakan metode cnn arsitektur mobilenet versi 3,"[0.6494, -0.1004, -0.0126, 0.0816, 0.0919, -0.3356, 0.7563, 0.2075, 0.1321, 0.4616, -0.1376, 0.2393, -0.299, 0.4378, 0.4412, -0.0225, 0.3284, -0.0889, -0.2636, -0.0592, -0.1844, 0.0882, 0.1094, -0.2542, 0.3746, -0.3767, 0.2113, 0.3358, -0.6062, -0.4919, 0.2453, 0.1802, 0.2498, 0.5084, -0.173, -0.2479, -0.0983, 0.087, -0.1784, -0.0208, -0.0332, -0.1432, 0.1827, -0.4717, 0.4618, 0.4275, 0.113, -0.2088, 0.166, 0.3517]"
